CampaignName,StatDate,Impressions,Clicks,Cost,Conversions
Creator Collab 4,2024/04/21,2733,242,303.28,17
Creator Collab 3,2024/01/26,1367,51,229.42,3
Spark Ads 5,2024/01/29,1997,113,155.59,9
Spark Ads 1,2024/02/29,394,44,249.43,5
Creator Collab 4,2024/03/17,1372,123,72.44,10
GenZ Push 1,2024/01/02,911,26,146.13,4
In-Feed 1,2024/01/29,3467,388,177.87,53
Creator Collab 6,2024/03/04,1080,123,310.96,7
In-Feed 3,2024/04/03,833,52,86.44,2
Creator Collab 3,2024/01/31,2013,76,303.21,1
In-Feed 1,2024/03/01,1317,75,263.18,7
Creator Collab 4,2024/03/31,1624,190,157.1,9
In-Feed 1,2024/02/12,3315,264,37.03,30
Creator Collab 5,2024/03/31,2228,246,378.79,46
Spark Ads 4,2024/03/26,321,14,239.27,0
GenZ Push 3,2024/01/22,841,98,217.04,11
In-Feed 5,2024/02/25,1689,182,58.81,12
Creator Collab 3,2024/04/05,1366,43,26.34,1
GenZ Push 3,2024/03/07,2061,99,334.47,12
GenZ Push 2,2024/03/12,2084,227,126.75,45
In-Feed 4,2024/02/03,517,20,30.19,0
Creator Collab 4,2024/01/06,3191,212,52.93,38
In-Feed 1,2024/04/18,1760,209,217.52,20
Creator Collab 2,2024/04/05,806,44,85.38,2
GenZ Push 1,2024/03/08,2607,284,226.7,34
Creator Collab 1,2024/04/23,2005,224,101.08,23
GenZ Push 3,2024/03/16,406,19,373.09,0
Spark Ads 6,2024/03/02,1625,57,39.99,9
In-Feed 1,2024/03/24,2873,331,229.86,3
In-Feed 5,2024/01/17,1630,187,379.93,34
Creator Collab 6,2024/01/10,499,49,114.69,7
In-Feed 4,2024/01/12,679,40,75.86,7
Spark Ads 6,2024/01/20,1152,41,298.41,2
Spark Ads 3,2024/04/25,1522,105,169.97,17
Creator Collab 4,2024/02/27,1770,153,317.86,16
In-Feed 4,2024/04/13,2251,105,232.13,2
GenZ Push 5,2024/02/13,2814,108,243.35,2
In-Feed 4,2024/03/08,3070,130,263.91,5
Spark Ads 3,2024/01/20,1490,99,39.3,16
Creator Collab 3,2024/03/13,3102,342,321.37,37
Spark Ads 4,2024/02/22,2556,70,26.69,2
Spark Ads 3,2024/03/15,2203,189,220.34,10
Spark Ads 2,2024/04/10,3448,242,52.16,32
Creator Collab 3,2024/03/16,1909,46,164.01,6
In-Feed 2,2024/01/28,3402,296,240.81,17
Creator Collab 1,2024/02/25,620,58,233.5,10
Spark Ads 4,2024/03/29,323,19,14.92,2
In-Feed 5,2024/04/14,2994,349,232.7,35
GenZ Push 3,2024/01/12,3128,273,265.41,23
Creator Collab 2,2024/04/19,853,18,51.41,0
Spark Ads 6,2024/04/19,1157,78,63.71,4
Creator Collab 1,2024/01/15,652,32,181.47,3
Creator Collab 1,2024/04/20,924,86,174.75,8
In-Feed 4,2024/01/07,2697,119,119.09,19
GenZ Push 4,2024/04/18,332,10,323.62,0
In-Feed 1,2024/03/03,3319,258,280.5,51
In-Feed 4,2024/01/30,2291,163,278.11,30
Spark Ads 3,2024/04/24,2463,53,223.27,6
In-Feed 4,2024/03/30,2238,70,240.4,9
In-Feed 4,2024/01/30,385,13,278.7,1
Creator Collab 6,2024/03/25,2707,300,135.49,37
In-Feed 4,2024/04/16,837,90,277.51,7
GenZ Push 3,2024/03/29,2234,223,322.48,28
Spark Ads 4,2024/01/13,3032,207,74.12,8
In-Feed 1,2024/02/15,2322,116,87.49,2
GenZ Push 5,2024/01/05,1762,154,74.64,26
Spark Ads 2,2024/03/03,1683,106,238.5,3
GenZ Push 5,2024/02/04,1693,166,294.67,25
Creator Collab 1,2024/04/28,3126,335,233.59,9
In-Feed 5,2024/03/19,2172,252,289.63,49
Spark Ads 2,2024/04/26,2603,62,49.0,8
GenZ Push 4,2024/04/03,943,87,272.02,13
Spark Ads 2,2024/02/26,931,78,133.8,2
In-Feed 3,2024/02/06,3450,334,100.77,54
Creator Collab 6,2024/03/26,649,30,274.62,2
Creator Collab 2,2024/04/12,920,87,205.97,13
In-Feed 5,2024/04/11,1993,222,342.28,42
GenZ Push 5,2024/04/30,421,27,294.96,3
Spark Ads 4,2024/01/08,647,34,158.61,5
In-Feed 5,2024/01/08,3409,80,351.33,3
GenZ Push 3,2024/04/02,2017,121,261.92,13
GenZ Push 2,2024/03/30,1709,35,113.52,3
In-Feed 5,2024/03/24,2127,179,338.4,23
In-Feed 2,2024/04/22,3156,172,310.38,22
GenZ Push 6,2024/04/22,645,15,133.76,2
Creator Collab 5,2024/02/09,2431,289,115.05,7
GenZ Push 5,2024/03/16,3400,284,18.67,50
GenZ Push 5,2024/01/15,1288,132,122.46,11
Spark Ads 6,2024/04/30,1827,83,197.77,2
Spark Ads 2,2024/04/13,2138,106,282.64,10
Creator Collab 5,2024/03/27,1734,86,256.76,14
Creator Collab 5,2024/03/15,3225,186,282.88,5
Creator Collab 4,2024/01/11,3488,195,46.26,28
Spark Ads 1,2024/02/17,554,34,58.12,1
In-Feed 5,2024/03/04,2709,205,298.17,36
In-Feed 4,2024/04/15,2102,186,360.69,27
Creator Collab 6,2024/03/06,891,62,189.36,6
Spark Ads 5,2024/02/17,3144,129,185.14,19
Spark Ads 3,2024/01/06,2764,290,50.82,23
Creator Collab 4,2024/01/04,782,44,376.68,2
Creator Collab 3,2024/04/23,882,86,166.05,16
GenZ Push 5,2024/02/14,1183,45,283.67,0
Spark Ads 3,2024/04/10,483,29,222.03,3
In-Feed 2,2024/03/05,2246,232,318.46,8
In-Feed 3,2024/01/12,3419,222,176.16,38
In-Feed 6,2024/04/23,1886,81,156.3,9
In-Feed 1,2024/03/14,3314,158,42.76,6
GenZ Push 5,2024/03/10,2598,219,248.25,5
Spark Ads 1,2024/01/16,2635,190,287.71,20
Creator Collab 5,2024/02/26,377,17,86.15,2
Spark Ads 1,2024/02/13,2485,200,158.67,3
In-Feed 3,2024/01/12,1039,63,328.07,4
Spark Ads 1,2024/01/20,706,52,115.58,2
GenZ Push 2,2024/01/04,1968,172,31.8,33
Spark Ads 3,2024/02/03,1520,89,128.42,7
In-Feed 2,2024/03/04,795,20,98.66,2
In-Feed 1,2024/03/02,771,36,127.78,4
Spark Ads 5,2024/03/16,1969,164,348.08,2
Spark Ads 5,2024/02/22,1308,125,251.07,4
In-Feed 2,2024/02/17,643,67,195.16,10
Creator Collab 4,2024/01/06,1304,96,166.79,17
Spark Ads 2,2024/01/01,2203,255,239.67,34
Spark Ads 3,2024/04/17,2275,107,102.83,14
Creator Collab 5,2024/03/13,2696,280,114.09,11
Spark Ads 6,2024/03/12,1531,44,268.42,7
GenZ Push 6,2024/02/13,2069,85,196.78,13
GenZ Push 3,2024/02/13,3383,307,111.01,41
Creator Collab 2,2024/03/23,2183,253,131.53,46
Spark Ads 4,2024/03/12,2793,188,343.53,25
In-Feed 6,2024/01/10,3423,202,40.03,35
Spark Ads 4,2024/04/15,3050,196,55.66,38
GenZ Push 1,2024/01/16,1884,71,294.15,10
In-Feed 1,2024/04/07,1817,206,174.49,10
GenZ Push 5,2024/03/21,3087,346,142.39,9
GenZ Push 1,2024/02/05,3240,136,372.64,26
In-Feed 6,2024/02/20,3183,288,87.36,13
Spark Ads 6,2024/04/04,1436,110,192.78,12
Creator Collab 5,2024/04/19,567,44,286.01,1
Creator Collab 1,2024/03/29,2442,226,111.5,38
GenZ Push 6,2024/03/27,3088,234,177.95,44
Spark Ads 6,2024/03/07,1623,102,378.19,6
In-Feed 2,2024/01/07,2329,130,290.84,23
GenZ Push 3,2024/01/11,2020,147,127.01,12
Spark Ads 2,2024/01/26,3320,141,265.13,27
Creator Collab 4,2024/02/25,1648,84,241.62,2
Spark Ads 2,2024/01/14,2727,271,355.97,45
In-Feed 5,2024/04/11,1276,147,318.03,24
Creator Collab 6,2024/02/27,598,58,239.24,9
Spark Ads 6,2024/01/09,650,76,349.18,6
Creator Collab 6,2024/02/25,553,61,173.51,4
Spark Ads 4,2024/02/21,717,62,216.93,4
Spark Ads 6,2024/03/20,2828,269,96.25,33
Spark Ads 5,2024/01/13,2157,125,304.21,22
GenZ Push 3,2024/03/16,2966,337,299.68,32
Creator Collab 2,2024/04/25,742,22,230.21,0
Creator Collab 5,2024/02/26,2910,206,141.49,20
Creator Collab 5,2024/02/25,1295,43,26.31,1
GenZ Push 4,2024/02/09,1574,123,210.22,4
GenZ Push 6,2024/01/19,1492,84,12.99,10
Spark Ads 4,2024/02/14,1272,89,319.01,15
Creator Collab 2,2024/03/26,1120,94,84.47,2
In-Feed 5,2024/03/13,3145,280,182.94,39
GenZ Push 1,2024/03/04,2823,141,131.59,4
Creator Collab 2,2024/01/31,315,26,266.49,2
In-Feed 4,2024/01/27,3308,320,311.42,52
In-Feed 3,2024/01/04,1054,108,12.49,1
Spark Ads 3,2024/01/06,883,43,81.93,5
Spark Ads 6,2024/01/23,1115,44,74.43,7
GenZ Push 3,2024/04/26,2571,114,82.52,4
Spark Ads 1,2024/02/13,385,39,60.78,5
Creator Collab 2,2024/04/30,1549,101,146.77,8
In-Feed 2,2024/01/25,3212,85,63.44,15
In-Feed 2,2024/04/27,3144,180,231.83,35
Spark Ads 2,2024/02/11,3425,279,79.97,31
Creator Collab 5,2024/03/15,518,42,113.63,1
In-Feed 5,2024/01/09,1157,107,300.33,17
Creator Collab 3,2024/03/04,2383,140,336.5,21
In-Feed 6,2024/03/04,1033,53,148.34,7
In-Feed 6,2024/01/05,1399,109,246.1,17
Creator Collab 2,2024/02/09,1199,131,177.27,7
In-Feed 5,2024/01/11,1844,142,356.13,11
Creator Collab 5,2024/01/06,3378,95,174.47,7
In-Feed 4,2024/02/17,2398,196,167.66,19
In-Feed 3,2024/03/23,1598,75,19.15,7
Spark Ads 5,2024/03/23,1770,194,118.97,20
Spark Ads 1,2024/03/10,1432,161,46.41,3
Creator Collab 6,2024/04/18,1667,66,131.82,4
GenZ Push 6,2024/04/04,1080,97,379.26,19
GenZ Push 4,2024/02/21,334,32,114.28,2
Spark Ads 4,2024/01/30,2233,190,376.03,36
Creator Collab 5,2024/04/06,3262,309,185.54,33
In-Feed 2,2024/02/24,3259,330,136.04,8
In-Feed 2,2024/03/14,1158,73,325.59,1
Creator Collab 3,2024/02/13,1551,177,13.58,29
Creator Collab 6,2024/03/09,2016,126,288.47,19
GenZ Push 2,2024/01/20,1635,128,220.0,2
GenZ Push 4,2024/02/18,2627,217,233.11,27
Creator Collab 3,2024/03/13,1900,50,152.98,5
In-Feed 5,2024/01/23,2917,319,44.5,9
Spark Ads 4,2024/02/06,3122,250,19.93,11
Creator Collab 3,2024/03/07,1254,61,204.03,5
Spark Ads 1,2024/01/17,1003,52,346.63,4
In-Feed 2,2024/01/17,2258,212,153.93,38
Creator Collab 5,2024/03/14,1568,99,272.58,9
GenZ Push 2,2024/01/01,2706,109,275.21,10
Creator Collab 5,2024/02/12,2125,56,157.72,9
In-Feed 6,2024/04/22,2184,144,24.46,3
In-Feed 5,2024/04/15,1720,154,273.31,10
Creator Collab 4,2024/02/19,2000,89,342.99,13
Creator Collab 2,2024/04/23,3161,242,155.61,45
Creator Collab 1,2024/03/30,1421,153,208.96,20
Creator Collab 3,2024/01/10,2321,141,291.89,4
Spark Ads 3,2024/01/27,2366,228,130.62,21
Spark Ads 4,2024/02/18,2193,49,246.38,6
GenZ Push 3,2024/01/15,3355,201,81.93,3
Creator Collab 1,2024/03/11,1639,142,181.77,13
Creator Collab 2,2024/01/22,3222,370,61.89,61
Spark Ads 4,2024/01/22,2786,83,118.83,9
Spark Ads 3,2024/01/23,3050,293,260.63,11
Creator Collab 6,2024/01/07,3226,75,259.77,3
Spark Ads 1,2024/04/08,1899,169,174.28,20
In-Feed 2,2024/01/12,3442,138,102.39,25
Spark Ads 6,2024/03/26,2027,46,15.39,7
Spark Ads 6,2024/01/22,1203,139,45.74,23
Creator Collab 5,2024/03/21,480,29,49.84,2
Creator Collab 1,2024/01/30,2858,116,210.43,21
Creator Collab 3,2024/01/02,733,40,74.24,3
In-Feed 6,2024/03/20,1171,77,34.43,12
GenZ Push 5,2024/03/04,479,12,90.87,0
Spark Ads 2,2024/02/02,3218,236,376.5,40
Spark Ads 6,2024/01/18,2757,144,243.42,12
GenZ Push 6,2024/03/02,1018,85,337.07,5
Spark Ads 5,2024/03/22,1672,36,347.48,3
Creator Collab 5,2024/04/07,2362,186,375.7,10
Spark Ads 1,2024/01/08,1565,68,168.54,3
Creator Collab 6,2024/01/05,1834,128,84.74,10
Creator Collab 3,2024/01/18,3270,260,359.97,39
GenZ Push 4,2024/03/23,1600,134,291.38,14
GenZ Push 2,2024/01/27,3374,75,323.37,5
Spark Ads 2,2024/03/18,3023,359,306.54,51
In-Feed 4,2024/01/09,2435,127,173.67,1
Creator Collab 1,2024/01/23,513,42,62.37,2
Creator Collab 2,2024/04/02,1267,89,167.71,8
Creator Collab 5,2024/02/27,1303,81,234.16,5
Creator Collab 3,2024/02/20,1413,150,188.03,28
In-Feed 4,2024/04/07,987,66,166.4,8
Creator Collab 3,2024/03/17,2274,49,151.13,8
Creator Collab 4,2024/02/06,2564,237,105.2,23
In-Feed 4,2024/01/26,2602,209,36.62,7
Creator Collab 3,2024/03/03,1076,21,328.81,3
In-Feed 4,2024/02/09,2003,228,369.08,18
Spark Ads 5,2024/01/21,1974,214,377.21,7
Creator Collab 6,2024/02/14,3425,217,104.45,39
In-Feed 4,2024/04/04,2900,257,267.69,34
Creator Collab 6,2024/03/27,1292,87,350.94,6
Spark Ads 6,2024/01/19,3156,273,64.72,34
GenZ Push 1,2024/01/15,1313,105,362.16,17
Spark Ads 1,2024/03/07,2939,267,152.21,38
Creator Collab 5,2024/03/09,2032,74,167.94,10
In-Feed 6,2024/04/21,2700,137,162.3,24
Spark Ads 2,2024/02/04,747,62,297.38,4
Creator Collab 4,2024/01/01,3364,201,124.0,39
Spark Ads 3,2024/04/03,586,57,164.6,5
In-Feed 4,2024/01/24,998,37,78.97,1
Spark Ads 6,2024/01/24,2145,164,88.65,7
Creator Collab 5,2024/01/14,1362,161,332.5,15
Creator Collab 3,2024/01/04,626,30,149.76,1
Creator Collab 3,2024/04/06,2257,154,291.4,1
Spark Ads 5,2024/04/11,3025,236,375.42,6
Spark Ads 4,2024/03/01,1838,147,375.15,22
GenZ Push 3,2024/04/14,2775,174,147.19,31
Creator Collab 3,2024/04/21,1779,153,150.02,3
GenZ Push 2,2024/01/04,710,14,332.1,1
Spark Ads 3,2024/02/27,2473,118,268.73,19
In-Feed 3,2024/01/03,2409,147,79.54,29
GenZ Push 2,2024/03/18,487,56,282.25,7
In-Feed 4,2024/03/25,1939,182,303.77,13
Spark Ads 5,2024/04/22,3307,193,234.65,28
Spark Ads 5,2024/04/21,823,57,42.22,9
In-Feed 5,2024/01/31,988,108,363.37,10
Creator Collab 1,2024/02/25,1166,43,359.36,6
Spark Ads 3,2024/01/29,956,107,130.81,8
GenZ Push 2,2024/04/28,3027,204,342.08,6
In-Feed 5,2024/04/08,670,66,133.14,3
Spark Ads 6,2024/02/18,2937,159,346.76,24
In-Feed 1,2024/02/13,1255,53,52.81,1
Creator Collab 3,2024/02/18,3349,382,221.95,13
Spark Ads 4,2024/02/10,1573,41,208.17,7
GenZ Push 5,2024/01/29,3082,349,56.73,47
Spark Ads 3,2024/04/17,1919,40,325.37,2
Creator Collab 6,2024/03/26,2347,206,64.55,13
Spark Ads 3,2024/04/18,2753,143,195.88,20
In-Feed 4,2024/01/08,2884,296,193.16,42
GenZ Push 2,2024/03/30,925,95,87.93,14
Spark Ads 6,2024/04/26,3478,131,190.38,11
Creator Collab 3,2024/04/06,388,29,134.84,4
In-Feed 2,2024/03/30,1901,51,278.9,3
In-Feed 1,2024/04/18,698,23,288.34,2
GenZ Push 4,2024/02/07,2174,185,223.55,17
Creator Collab 1,2024/02/16,1159,48,286.9,7
Spark Ads 4,2024/03/27,3078,303,327.62,24
Creator Collab 1,2024/01/16,530,15,370.44,0
GenZ Push 2,2024/01/05,2730,173,64.97,25
Spark Ads 2,2024/03/24,1286,76,122.0,9
In-Feed 4,2024/04/20,3477,310,304.27,41
In-Feed 1,2024/01/11,1427,118,174.69,1
Spark Ads 5,2024/03/14,2303,193,346.14,10
In-Feed 4,2024/03/02,1421,126,44.98,15
In-Feed 5,2024/01/24,1522,117,46.79,2
In-Feed 5,2024/03/03,3170,69,215.74,7
Spark Ads 6,2024/01/16,2425,251,209.42,41
Creator Collab 2,2024/01/01,2997,328,76.85,40
In-Feed 2,2024/01/12,1587,51,57.66,2
GenZ Push 3,2024/03/10,3384,79,372.57,8
Creator Collab 1,2024/03/07,2032,239,253.52,13
GenZ Push 3,2024/03/07,2999,220,61.75,22
GenZ Push 1,2024/01/31,2782,205,87.64,5
Spark Ads 2,2024/03/18,1070,36,326.75,1
Creator Collab 1,2024/03/11,2723,152,57.54,19
GenZ Push 1,2024/04/30,1367,79,344.35,6
GenZ Push 1,2024/03/21,3071,192,266.97,21
GenZ Push 6,2024/03/23,2893,259,81.27,20
Creator Collab 4,2024/01/04,2019,206,127.05,32
Creator Collab 4,2024/01/09,617,29,206.64,4
GenZ Push 2,2024/04/21,2922,84,346.42,13
Creator Collab 4,2024/01/14,1420,29,149.55,5
Spark Ads 4,2024/01/13,1019,74,333.94,9
GenZ Push 1,2024/04/24,3169,244,114.34,15
Spark Ads 6,2024/03/27,999,51,288.19,2
In-Feed 6,2024/01/20,2253,178,105.85,25
Creator Collab 6,2024/03/22,884,51,282.11,1
GenZ Push 4,2024/01/24,3197,312,260.94,27
In-Feed 4,2024/03/07,1749,174,195.82,10
Creator Collab 3,2024/04/18,1550,129,42.17,8
Spark Ads 2,2024/03/14,2899,81,280.08,15
Spark Ads 1,2024/02/24,646,60,215.04,6
Creator Collab 5,2024/03/30,2264,157,263.5,21
Spark Ads 1,2024/04/01,1960,41,80.37,6
In-Feed 6,2024/04/27,3177,233,137.67,46
Spark Ads 5,2024/04/25,2787,180,72.36,33
Creator Collab 1,2024/02/24,1016,27,320.58,2
In-Feed 6,2024/02/01,1852,68,368.8,5
Spark Ads 6,2024/03/21,1488,74,118.61,3
In-Feed 5,2024/04/15,1190,133,353.77,25
Spark Ads 1,2024/03/19,2196,239,323.89,5
In-Feed 6,2024/01/24,1645,81,49.65,6
In-Feed 5,2024/03/06,1752,36,169.4,1
Creator Collab 6,2024/02/02,1982,64,190.34,2
Creator Collab 2,2024/03/09,2227,132,120.74,12
GenZ Push 2,2024/02/15,745,88,252.82,8
In-Feed 2,2024/02/06,323,18,332.09,0
Spark Ads 2,2024/03/26,847,50,285.25,9
Creator Collab 4,2024/03/11,2263,262,373.68,8
In-Feed 4,2024/03/05,3092,282,130.21,43
In-Feed 2,2024/02/14,838,25,49.92,0
Spark Ads 4,2024/03/17,3443,304,29.25,50
Spark Ads 4,2024/02/01,2079,141,114.42,3
Creator Collab 3,2024/03/30,3287,233,102.3,36
Creator Collab 1,2024/03/30,3029,309,83.41,44
Creator Collab 2,2024/01/16,1072,127,228.74,16
Creator Collab 4,2024/01/03,1943,46,376.45,8
Creator Collab 6,2024/03/22,672,71,150.73,7
Creator Collab 6,2024/01/07,1208,64,187.3,6
GenZ Push 4,2024/02/01,750,35,113.81,2
GenZ Push 3,2024/01/28,494,18,10.2,2
GenZ Push 3,2024/03/03,2233,107,234.41,9
GenZ Push 5,2024/04/08,1669,84,45.85,1
Creator Collab 5,2024/03/08,1656,92,309.71,13
GenZ Push 1,2024/01/17,1275,108,87.71,8
Spark Ads 2,2024/01/25,468,36,347.51,4
In-Feed 6,2024/03/01,704,19,212.23,1
Creator Collab 5,2024/04/01,2485,228,26.21,10
GenZ Push 3,2024/02/27,3410,359,345.52,70
Spark Ads 5,2024/04/11,2086,55,165.03,10
Spark Ads 1,2024/03/13,983,78,267.78,2
Spark Ads 5,2024/04/21,3141,122,311.38,12
Spark Ads 4,2024/02/21,977,62,198.43,7
GenZ Push 6,2024/01/02,1147,44,69.2,2
In-Feed 2,2024/02/07,2363,214,204.28,14
GenZ Push 3,2024/01/06,2561,81,92.85,9
Creator Collab 6,2024/02/01,1437,161,110.06,25
Creator Collab 3,2024/02/11,2489,78,250.0,10
Spark Ads 5,2024/02/07,3189,345,107.69,12
GenZ Push 6,2024/02/05,534,44,13.85,3
Creator Collab 5,2024/01/14,1348,157,208.83,30
In-Feed 2,2024/04/14,2978,136,241.7,16
In-Feed 4,2024/01/20,1203,63,85.45,8
In-Feed 4,2024/01/12,1249,116,170.54,4
In-Feed 5,2024/03/03,1043,68,311.77,2
Creator Collab 4,2024/03/28,2952,142,124.76,25
Creator Collab 6,2024/02/21,584,20,167.77,1
Spark Ads 5,2024/01/13,3266,237,278.9,38
In-Feed 6,2024/04/29,1872,41,315.83,6
Spark Ads 6,2024/03/17,841,37,40.93,1
Spark Ads 3,2024/04/19,338,39,49.35,5
Spark Ads 2,2024/02/09,1128,38,291.08,6
GenZ Push 6,2024/03/10,2261,80,30.67,11
Spark Ads 5,2024/04/23,386,39,48.04,2
In-Feed 4,2024/01/19,880,17,93.0,0
GenZ Push 6,2024/04/23,2984,145,351.03,20
Spark Ads 3,2024/02/15,2314,85,50.75,2
Spark Ads 1,2024/04/24,2821,150,143.38,27
Spark Ads 2,2024/03/27,2776,97,168.59,7
In-Feed 3,2024/02/14,915,100,264.25,12
