Campaign,Date,Impressions,Clicks,Cost,Conversions
App Installs 1,2024-04-30,4119,200,268.06,4
App Installs 2,2024-02-25,1721,82,504.07,12
Retargeting 1,2024-04-25,842,26,541.41,5
Prospecting 4,2024-03-20,2220,128,406.82,12
App Installs 2,2024-04-22,1766,132,157.31,7
DSA 4,2024-04-12,703,15,556.2,2
App Installs 1,2024-04-19,2532,72,476.68,3
DSA 2,2024-01-29,2322,55,552.7,5
Brand 3,2024-02-14,2082,78,181.59,2
App Installs 1,2024-01-15,4673,177,589.07,25
Prospecting 4,2024-02-14,1962,99,590.46,2
App Installs 2,2024-02-02,3069,124,590.86,5
Brand 2,2024-02-16,4072,41,556.83,5
DSA 1,2024-04-02,1073,81,554.05,13
Prospecting 3,2024-03-11,4654,147,256.87,16
Retargeting 2,2024-03-19,2071,81,565.41,14
Shopping 2,2024-02-25,2965,113,503.56,10
Shopping 4,2024-04-11,3139,133,276.45,9
App Installs 3,2024-01-12,1890,106,184.6,18
Retargeting 2,2024-03-01,3042,78,135.5,1
Shopping 4,2024-03-04,1096,45,533.96,6
DSA 1,2024-04-09,2498,50,418.82,11
DSA 1,2024-03-12,2292,51,575.62,7
Retargeting 3,2024-04-06,1494,62,484.82,10
DSA 2,2024-04-05,4635,184,545.98,22
DSA 4,2024-03-21,4186,117,163.4,19
Retargeting 3,2024-02-10,2749,112,433.86,8
Shopping 2,2024-01-09,1160,22,154.13,3
DSA 4,2024-02-19,3839,127,290.24,4
Shopping 1,2024-04-30,660,46,464.04,4
Prospecting 4,2024-03-09,2946,184,515.0,44
App Installs 3,2024-02-25,4973,328,540.73,43
DSA 2,2024-04-17,737,27,407.95,5
DSA 1,2024-01-11,1545,121,329.79,27
App Installs 4,2024-02-11,4011,78,287.79,2
Retargeting 4,2024-02-02,4224,138,461.51,14
Brand 3,2024-01-29,4352,49,332.86,12
App Installs 2,2024-01-26,1062,68,398.02,13
Brand 2,2024-02-29,1748,46,294.67,2
App Installs 1,2024-04-09,2599,165,117.32,26
Retargeting 4,2024-02-20,3048,53,34.89,4
App Installs 1,2024-03-30,2124,32,420.56,5
Prospecting 4,2024-03-25,1491,98,348.24,2
Prospecting 4,2024-01-14,1064,48,217.91,10
DSA 4,2024-01-23,3467,188,500.65,34
App Installs 4,2024-02-29,4774,370,176.65,76
DSA 3,2024-04-22,2698,87,162.39,20
DSA 3,2024-01-04,2497,156,350.51,27
DSA 3,2024-02-05,3162,71,143.03,14
Shopping 2,2024-04-02,2763,135,319.64,8
DSA 4,2024-02-27,4502,219,159.39,28
Brand 3,2024-03-01,1262,38,254.55,2
Shopping 3,2024-03-30,4849,165,598.05,24
DSA 3,2024-01-16,2719,85,153.71,15
App Installs 4,2024-02-05,4889,374,420.29,23
App Installs 3,2024-01-30,4797,248,588.7,52
Prospecting 1,2024-01-07,1969,61,430.65,2
Shopping 4,2024-01-14,2893,170,93.24,37
Brand 1,2024-02-02,2829,121,275.47,7
DSA 1,2024-01-20,1434,96,252.41,3
Retargeting 4,2024-03-18,2989,47,163.95,6
Shopping 3,2024-04-20,2348,150,240.62,34
Shopping 1,2024-04-07,4012,125,380.2,20
Retargeting 1,2024-01-21,2228,63,67.09,4
Brand 2,2024-02-06,3846,159,364.41,13
App Installs 3,2024-04-10,2816,166,283.34,29
App Installs 3,2024-04-15,2120,84,335.85,14
Retargeting 3,2024-02-26,1084,15,479.72,2
Brand 4,2024-02-26,4339,252,425.85,59
Brand 1,2024-01-12,826,59,446.03,9
Retargeting 1,2024-04-07,669,53,409.92,4
Retargeting 4,2024-03-22,4354,201,276.49,16
DSA 1,2024-04-19,1247,53,256.84,4
Retargeting 4,2024-04-14,3201,124,307.37,21
Shopping 4,2024-04-20,800,33,202.42,3
Shopping 2,2024-03-07,509,28,334.7,3
Prospecting 2,2024-04-28,4583,246,460.79,16
Prospecting 2,2024-03-31,4089,293,301.13,7
Retargeting 1,2024-02-29,3045,147,340.31,6
Brand 3,2024-02-23,1761,79,435.63,10
DSA 2,2024-04-20,4368,118,339.73,12
Brand 3,2024-04-15,2763,177,515.56,17
Brand 4,2024-04-20,2817,171,505.74,26
Retargeting 4,2024-02-28,4158,198,220.17,29
Prospecting 4,2024-01-06,2045,160,158.51,17
Prospecting 2,2024-03-04,4374,259,490.62,28
Brand 4,2024-01-13,1534,69,362.3,15
Shopping 2,2024-01-10,4243,46,103.61,10
DSA 3,2024-04-19,2671,90,421.77,15
App Installs 4,2024-04-21,4871,178,203.66,32
Shopping 3,2024-01-30,794,42,156.17,7
App Installs 1,2024-02-26,1240,50,77.1,8
Retargeting 3,2024-02-15,2953,216,46.67,43
Prospecting 2,2024-01-22,4028,81,328.08,12
Retargeting 4,2024-04-26,1146,60,241.88,10
Shopping 1,2024-04-25,1672,43,389.98,5
DSA 3,2024-03-16,2856,164,111.63,19
Prospecting 4,2024-04-19,3975,231,284.96,20
DSA 3,2024-01-03,1373,36,351.72,5
App Installs 1,2024-04-26,3742,109,348.24,19
Shopping 2,2024-03-18,4569,312,543.7,61
Prospecting 2,2024-03-21,2294,125,380.12,21
Brand 2,2024-01-12,822,25,275.68,3
Prospecting 3,2024-03-08,3176,197,121.87,9
Shopping 4,2024-04-13,2732,186,169.04,39
Prospecting 2,2024-04-20,3274,217,291.63,8
App Installs 4,2024-01-02,3755,291,486.66,30
Prospecting 3,2024-03-15,4895,91,233.78,17
DSA 3,2024-04-27,3543,62,155.62,1
Shopping 3,2024-03-24,2313,127,388.53,16
DSA 4,2024-01-15,1455,28,568.83,2
Brand 4,2024-03-16,2423,174,98.69,21
App Installs 4,2024-04-30,1765,127,399.85,26
Prospecting 2,2024-04-19,768,44,146.02,5
Prospecting 3,2024-01-08,1313,103,233.05,23
DSA 4,2024-01-12,2760,64,90.85,13
App Installs 3,2024-02-01,2237,122,366.34,3
Retargeting 2,2024-04-14,2181,32,463.79,2
Retargeting 3,2024-04-19,3191,204,477.41,32
Retargeting 1,2024-01-17,1564,74,483.14,3
Brand 2,2024-02-03,3434,224,158.0,21
Brand 4,2024-02-27,1538,95,325.13,18
Prospecting 1,2024-04-03,4704,242,282.16,17
App Installs 4,2024-04-18,4771,148,393.14,4
DSA 1,2024-04-25,3992,231,304.36,52
Brand 3,2024-02-18,3138,164,58.1,13
Shopping 1,2024-04-19,4846,148,313.22,17
App Installs 4,2024-02-21,2261,90,535.09,10
DSA 2,2024-03-28,1278,40,201.26,3
DSA 3,2024-04-13,1049,17,69.51,2
Retargeting 1,2024-02-22,991,50,345.72,4
Prospecting 3,2024-02-15,3964,280,438.22,67
Brand 1,2024-02-14,4656,115,400.91,8
Shopping 4,2024-04-18,3511,63,181.57,4
Shopping 1,2024-01-24,715,37,401.54,6
Prospecting 2,2024-03-13,3031,225,223.59,13
App Installs 1,2024-04-05,3783,56,449.76,13
Shopping 3,2024-04-02,2262,82,283.11,4
Prospecting 1,2024-03-27,1195,85,110.24,16
Brand 4,2024-02-04,2729,111,265.93,17
Retargeting 4,2024-03-08,4697,84,269.35,7
App Installs 1,2024-01-27,3026,39,249.25,6
Prospecting 1,2024-01-01,2230,142,463.21,12
DSA 3,2024-01-10,4027,89,240.52,16
DSA 3,2024-03-14,846,34,286.66,1
DSA 1,2024-02-11,3813,227,262.26,10
Retargeting 1,2024-02-01,4269,291,553.47,11
DSA 3,2024-01-29,3780,176,249.54,16
Prospecting 2,2024-04-25,1877,28,387.27,3
Prospecting 2,2024-01-14,3376,205,494.99,42
Retargeting 1,2024-01-23,2596,61,369.39,11
App Installs 3,2024-04-20,4547,193,346.97,29
App Installs 3,2024-04-11,3089,63,59.61,7
Prospecting 1,2024-01-08,960,33,63.03,4
Prospecting 4,2024-02-29,2851,43,521.27,9
Shopping 3,2024-03-18,836,34,489.69,5
DSA 3,2024-04-01,4607,94,55.89,4
Brand 4,2024-03-08,4633,255,42.7,46
Shopping 3,2024-03-27,1800,63,552.4,6
Shopping 1,2024-03-12,928,60,395.44,2
App Installs 2,2024-02-12,3666,109,439.77,18
Brand 4,2024-01-17,1658,122,199.93,20
Shopping 2,2024-03-26,1194,37,238.47,7
App Installs 1,2024-02-16,4812,79,408.86,10
Prospecting 2,2024-01-29,1976,151,218.2,29
Retargeting 1,2024-03-25,1769,27,509.77,1
Prospecting 2,2024-04-02,1573,81,109.47,4
DSA 4,2024-03-19,857,33,412.29,2
Prospecting 4,2024-04-25,4177,110,158.72,26
Retargeting 3,2024-04-09,3513,201,350.84,24
DSA 2,2024-04-21,4619,216,580.44,44
Prospecting 1,2024-04-01,927,50,526.99,7
Shopping 2,2024-04-16,1521,45,462.61,3
DSA 3,2024-04-29,1251,95,148.78,11
Brand 1,2024-02-17,3898,53,311.16,3
Retargeting 3,2024-04-11,730,23,77.47,4
Retargeting 2,2024-04-07,1627,20,552.09,2
App Installs 3,2024-01-28,4342,179,23.05,6
Retargeting 3,2024-01-31,4995,378,373.15,44
Prospecting 4,2024-01-09,1498,19,263.5,3
Brand 2,2024-04-01,4594,237,29.53,32
Retargeting 4,2024-01-24,2886,115,376.59,8
App Installs 1,2024-02-19,1201,56,229.15,13
DSA 1,2024-02-15,856,46,589.0,3
Brand 3,2024-01-18,3324,89,401.12,3
Brand 4,2024-03-30,3386,163,491.84,9
DSA 4,2024-01-05,1993,133,56.6,26
Prospecting 3,2024-03-06,2151,28,135.69,0
DSA 3,2024-02-15,4948,213,41.24,35
Brand 4,2024-04-05,3219,93,483.62,11
DSA 3,2024-04-28,3667,123,128.35,22
Shopping 2,2024-03-10,2684,177,441.71,6
Prospecting 4,2024-03-18,3131,53,210.19,4
App Installs 3,2024-03-19,3990,86,277.47,10
DSA 4,2024-02-16,2749,150,479.06,4
Shopping 4,2024-01-05,1810,138,102.81,22
Retargeting 1,2024-03-18,1050,27,394.19,2
Retargeting 2,2024-03-08,4185,319,235.77,62
Prospecting 1,2024-04-04,3760,120,181.64,28
Retargeting 3,2024-03-31,4588,212,549.85,9
DSA 4,2024-01-26,2257,179,185.63,41
Brand 4,2024-01-12,1611,112,282.18,25
App Installs 3,2024-04-24,3118,176,431.53,25
Prospecting 3,2024-03-06,1790,107,557.85,17
Retargeting 4,2024-01-04,1494,117,479.4,8
Prospecting 1,2024-01-09,3522,150,590.15,7
Prospecting 4,2024-04-15,3761,300,436.94,42
Shopping 4,2024-03-28,1104,20,203.88,0
Shopping 2,2024-04-08,3322,63,500.85,9
Retargeting 2,2024-02-08,4044,182,523.56,38
Retargeting 3,2024-04-18,1826,59,431.41,5
Brand 3,2024-03-19,2552,60,574.68,4
Shopping 2,2024-01-22,1265,57,117.81,13
App Installs 1,2024-01-11,3265,225,346.9,47
Brand 1,2024-03-04,2668,148,464.84,17
App Installs 4,2024-02-08,4969,150,574.86,19
DSA 4,2024-01-27,1097,63,111.69,7
Prospecting 3,2024-02-21,1676,53,436.65,10
Retargeting 1,2024-02-04,3535,162,81.59,12
DSA 4,2024-02-01,2530,50,49.35,11
Retargeting 2,2024-03-04,3182,239,438.25,15
Shopping 4,2024-03-05,4324,194,198.95,4
DSA 4,2024-03-17,2472,61,224.68,1
App Installs 2,2024-04-22,4355,130,24.74,5
Prospecting 2,2024-02-16,3496,221,232.24,24
Shopping 3,2024-04-15,2864,43,312.47,8
Shopping 3,2024-03-12,1473,27,76.08,2
Prospecting 1,2024-01-05,1681,40,315.29,5
Retargeting 2,2024-02-11,3228,213,321.21,11
Shopping 3,2024-03-16,3109,66,594.56,12
Prospecting 3,2024-03-01,4655,316,328.76,57
Brand 3,2024-04-11,3517,116,83.57,13
App Installs 2,2024-04-02,718,37,174.01,6
Brand 4,2024-01-19,4435,97,384.83,15
App Installs 1,2024-02-26,2484,30,569.96,1
Prospecting 4,2024-04-21,3930,80,420.49,9
App Installs 4,2024-03-08,1010,59,320.84,8
DSA 3,2024-03-27,3070,236,286.6,33
App Installs 3,2024-01-29,2665,140,131.51,10
Prospecting 4,2024-02-14,2867,170,420.34,22
Shopping 4,2024-04-14,2740,82,352.62,11
Prospecting 3,2024-04-28,1699,51,186.83,9
DSA 3,2024-04-29,2600,162,144.11,34
Shopping 2,2024-01-07,2725,53,377.09,8
App Installs 3,2024-04-01,4850,125,155.05,5
DSA 2,2024-02-22,1323,76,99.73,18
App Installs 3,2024-02-06,4396,190,135.68,45
App Installs 1,2024-04-26,984,72,71.89,10
Retargeting 4,2024-04-10,3923,281,121.96,65
DSA 1,2024-01-02,2026,153,578.04,35
Prospecting 4,2024-04-23,1379,103,214.32,12
Retargeting 2,2024-04-03,4630,197,131.83,9
DSA 3,2024-03-13,2607,157,28.17,15
App Installs 4,2024-03-06,2082,46,516.56,10
Prospecting 4,2024-02-11,1210,46,75.32,11
Retargeting 3,2024-02-08,555,15,156.6,2
Shopping 1,2024-02-29,593,16,228.54,1
Prospecting 3,2024-03-29,1808,69,311.46,15
Brand 4,2024-01-20,2916,104,148.09,24
DSA 2,2024-04-07,3560,139,338.56,17
Retargeting 1,2024-01-08,1170,54,326.34,5
Shopping 4,2024-01-15,4640,112,331.26,6
App Installs 4,2024-04-13,2182,131,303.52,29
Brand 4,2024-03-27,4214,81,260.95,12
Prospecting 1,2024-01-06,678,25,493.54,4
DSA 1,2024-04-29,3322,196,333.87,6
DSA 4,2024-02-17,759,22,124.39,1
DSA 2,2024-03-24,4174,295,545.93,31
Prospecting 2,2024-04-16,1471,33,331.61,4
Brand 4,2024-03-09,686,53,288.54,9
DSA 1,2024-01-05,2381,65,220.77,5
App Installs 2,2024-01-27,3934,208,563.02,46
Brand 1,2024-02-01,1326,68,278.94,11
App Installs 1,2024-01-18,862,32,155.92,2
Shopping 3,2024-01-31,2869,75,551.51,11
Prospecting 3,2024-01-08,1673,132,322.33,15
Shopping 3,2024-04-30,1934,104,267.78,13
App Installs 2,2024-02-08,3622,235,204.87,27
DSA 3,2024-04-19,2006,125,294.64,26
App Installs 4,2024-03-12,1682,111,550.55,16
Shopping 1,2024-04-28,1598,59,167.9,5
DSA 3,2024-02-18,3539,58,440.26,3
App Installs 2,2024-03-02,823,58,129.13,11
Retargeting 2,2024-04-04,3227,100,547.22,6
Brand 4,2024-04-27,4423,327,423.46,59
Retargeting 3,2024-02-09,3134,201,240.78,28
Prospecting 4,2024-04-07,3446,158,308.42,6
Prospecting 2,2024-04-04,2164,77,260.08,11
Retargeting 4,2024-02-07,632,17,562.16,2
Retargeting 4,2024-03-11,2107,69,240.31,14
App Installs 4,2024-02-28,3265,91,496.52,22
Retargeting 1,2024-03-08,3385,73,437.78,9
Brand 4,2024-01-18,1108,84,407.57,16
App Installs 4,2024-02-17,2395,35,107.6,2
Brand 4,2024-01-02,4458,250,29.12,35
Brand 4,2024-04-13,4836,292,330.73,25
Retargeting 3,2024-04-14,1376,102,324.14,7
Prospecting 4,2024-03-13,2689,176,65.83,42
Retargeting 1,2024-01-12,2350,72,500.28,2
DSA 2,2024-01-11,3606,131,296.08,21
DSA 1,2024-04-24,4054,223,212.14,54
Shopping 4,2024-02-04,848,22,542.74,3
Brand 1,2024-01-23,1109,64,182.62,9
Prospecting 4,2024-04-28,628,48,360.48,9
Brand 4,2024-03-27,2951,63,159.47,13
Shopping 1,2024-03-05,3217,118,449.05,23
App Installs 3,2024-03-18,3333,45,273.51,9
Shopping 4,2024-03-03,3749,291,209.3,48
Retargeting 4,2024-01-11,3414,166,237.75,10
Shopping 2,2024-02-18,2919,192,433.6,7
App Installs 1,2024-04-30,1763,108,203.67,4
Prospecting 2,2024-02-25,4143,145,176.46,7
DSA 1,2024-03-17,4697,181,35.23,18
Shopping 1,2024-04-02,3157,222,27.16,25
Shopping 2,2024-02-04,2488,124,118.36,13
Prospecting 4,2024-02-08,2698,120,56.69,14
DSA 4,2024-03-17,1130,39,567.65,7
Shopping 4,2024-02-12,2101,88,98.58,1
Shopping 2,2024-02-08,3612,239,211.13,23
Prospecting 3,2024-02-07,2145,93,123.03,10
App Installs 3,2024-04-14,4522,351,473.55,33
DSA 2,2024-03-28,3490,62,347.03,9
Shopping 4,2024-04-12,720,55,287.74,10
Prospecting 4,2024-01-18,1066,71,481.48,8
App Installs 4,2024-01-10,2980,80,402.02,14
DSA 4,2024-03-10,4425,224,329.93,52
Brand 1,2024-01-14,3445,203,491.13,31
Retargeting 4,2024-04-06,3408,73,375.35,10
Prospecting 2,2024-02-27,4026,70,77.19,4
Prospecting 2,2024-02-14,3704,157,414.14,28
Brand 1,2024-04-16,4454,77,261.27,18
App Installs 4,2024-02-14,1660,57,218.98,11
DSA 3,2024-01-06,1299,52,424.12,4
App Installs 2,2024-04-29,1442,16,218.99,0
App Installs 4,2024-02-29,2498,115,340.11,11
Retargeting 4,2024-01-04,3818,206,128.1,35
App Installs 2,2024-01-27,2116,87,269.14,1
Prospecting 3,2024-02-11,1012,51,483.71,7
Retargeting 3,2024-03-17,4248,76,409.01,10
DSA 2,2024-04-14,3715,189,221.8,40
App Installs 3,2024-01-16,2936,218,362.3,38
Retargeting 4,2024-02-23,3001,54,236.52,2
Shopping 2,2024-03-12,1629,81,265.36,10
Retargeting 1,2024-04-20,4511,136,128.52,29
Prospecting 4,2024-02-22,578,25,133.17,2
App Installs 1,2024-03-13,4528,177,507.14,23
Brand 2,2024-04-09,2306,70,179.41,10
DSA 3,2024-03-10,4557,220,85.66,10
Brand 2,2024-02-08,4115,198,594.07,8
Brand 1,2024-04-09,4184,118,520.08,4
Retargeting 4,2024-01-22,2219,148,361.0,14
Shopping 3,2024-03-09,1640,106,491.85,21
Prospecting 3,2024-04-19,4913,107,587.82,9
Shopping 1,2024-02-05,1280,24,455.05,2
App Installs 3,2024-04-16,1539,90,96.96,4
Retargeting 4,2024-02-18,3717,164,354.91,13
DSA 3,2024-03-29,1118,60,530.47,2
Prospecting 1,2024-04-03,4224,323,209.83,6
DSA 4,2024-04-15,3434,238,481.49,26
Retargeting 2,2024-03-13,4552,131,500.44,12
DSA 4,2024-01-03,3315,240,462.11,7
Brand 2,2024-03-29,1794,73,20.39,17
Retargeting 3,2024-02-02,2972,62,560.98,5
Brand 3,2024-04-02,3546,200,396.37,6
App Installs 2,2024-03-02,2418,96,72.9,4
Brand 1,2024-03-30,1587,81,321.28,9
Prospecting 1,2024-01-30,1487,117,264.94,5
DSA 3,2024-01-18,1231,75,79.41,6
DSA 1,2024-03-19,1590,87,412.74,3
App Installs 2,2024-04-27,1844,75,439.01,12
DSA 1,2024-03-16,4124,289,70.28,12
App Installs 2,2024-02-05,3645,126,269.05,25
App Installs 3,2024-04-09,1190,32,368.58,5
App Installs 2,2024-04-05,719,49,401.88,4
DSA 2,2024-03-04,2921,161,474.6,32
DSA 1,2024-02-16,1423,38,390.09,1
Prospecting 2,2024-04-07,1581,58,506.6,6
DSA 1,2024-04-28,1097,12,59.17,0
Brand 4,2024-02-24,3760,170,384.57,22
App Installs 3,2024-01-11,3795,59,331.21,9
Prospecting 3,2024-02-20,1147,52,137.85,10
Shopping 2,2024-01-08,1041,33,273.74,7
Retargeting 1,2024-02-09,1206,90,87.27,14
App Installs 2,2024-03-04,1938,35,430.58,6
Prospecting 3,2024-01-17,4784,221,497.05,17
App Installs 3,2024-04-13,2701,165,88.47,37
DSA 1,2024-03-04,2728,127,172.51,31
DSA 3,2024-01-21,4684,164,309.77,24
Prospecting 1,2024-01-06,1342,97,410.99,4
Brand 2,2024-04-29,2503,33,231.11,7
Brand 3,2024-02-04,3935,101,163.99,23
Brand 2,2024-04-12,3554,65,410.53,2
Shopping 3,2024-04-09,876,67,59.98,8
Prospecting 3,2024-03-13,3181,51,284.91,5
Prospecting 2,2024-04-03,2487,105,363.18,14
Shopping 3,2024-03-22,2508,51,560.79,1
App Installs 3,2024-01-14,578,44,20.85,7
Retargeting 2,2024-04-01,4840,381,263.49,91
Prospecting 4,2024-03-30,1262,16,154.25,3
Prospecting 2,2024-03-22,4255,332,69.24,13
DSA 2,2024-01-31,1113,57,56.12,9
Prospecting 3,2024-02-10,2638,183,557.1,20
DSA 1,2024-01-20,2727,71,567.26,3
Brand 3,2024-04-08,1846,76,202.14,3
Retargeting 2,2024-04-13,4202,132,173.7,6
App Installs 3,2024-01-19,2992,202,424.19,5
Brand 3,2024-02-03,2533,197,249.82,6
Retargeting 2,2024-01-13,754,57,515.67,8
DSA 2,2024-01-17,1334,88,101.08,2
Retargeting 3,2024-04-27,3781,136,385.57,22
Brand 2,2024-01-12,678,54,134.7,9
Prospecting 4,2024-04-15,1503,19,287.38,1
App Installs 3,2024-01-28,3735,167,241.98,19
Retargeting 2,2024-03-23,2752,81,532.39,2
Prospecting 3,2024-02-19,4586,178,339.4,6
Retargeting 1,2024-02-18,3934,94,533.1,13
App Installs 3,2024-02-19,3441,149,473.23,14
Prospecting 3,2024-01-08,1973,23,366.33,0
DSA 2,2024-01-13,4837,169,358.71,12
Retargeting 1,2024-04-07,2475,70,493.45,16
Retargeting 2,2024-01-31,3681,128,506.75,27
Shopping 1,2024-03-31,3105,206,424.62,47
App Installs 2,2024-04-17,3380,257,346.89,38
DSA 2,2024-03-18,4941,156,304.45,6
Retargeting 2,2024-04-13,663,31,20.4,7
Retargeting 3,2024-01-08,3291,198,552.89,42
Brand 3,2024-01-10,1710,87,551.99,17
Prospecting 2,2024-04-03,3740,190,215.21,17
DSA 3,2024-01-29,4491,248,121.04,60
App Installs 2,2024-04-03,1936,70,445.72,6
Brand 2,2024-03-18,3707,257,467.08,38
Prospecting 3,2024-04-05,2309,126,80.38,16
Brand 1,2024-04-15,2449,83,205.32,13
App Installs 1,2024-02-14,3250,134,173.82,10
Prospecting 4,2024-01-22,1385,83,47.93,10
DSA 4,2024-04-10,4539,325,223.71,34
Shopping 3,2024-01-03,2347,50,62.75,10
Prospecting 4,2024-01-21,2639,202,63.04,11
App Installs 4,2024-03-31,1114,53,540.91,2
Brand 2,2024-01-07,4033,306,115.7,68
Brand 3,2024-03-25,3212,78,130.19,14
Prospecting 4,2024-01-20,2936,78,48.79,11
Brand 4,2024-01-26,3455,35,70.82,7
Brand 4,2024-04-18,710,17,390.15,4
Brand 3,2024-01-12,3026,196,293.15,44
App Installs 2,2024-02-27,4957,184,235.19,19
Brand 1,2024-01-20,2656,108,172.77,22
App Installs 2,2024-03-11,1292,20,219.4,2
Brand 4,2024-03-14,3671,247,262.81,35
Retargeting 1,2024-03-05,4401,136,248.99,29
