campaign_name,reporting_starts,impressions,link_clicks,spend,purchases
Retention 4,03/02/2024,2098,176,328.31,28
Retention 1,01/17/2024,2819,80,377.51,2
Video 5,01/19/2024,2826,81,288.85,3
Lookalike 5,03/13/2024,1081,39,93.32,11
Lookalike 1,01/28/2024,3998,304,302.86,32
Awareness 4,03/17/2024,2884,286,392.28,21
Retention 5,02/03/2024,3654,235,348.86,46
Retention 1,01/30/2024,3366,246,416.22,47
Awareness 5,03/28/2024,1978,51,22.2,8
Awareness 5,03/17/2024,3785,104,56.89,16
Lookalike 4,03/25/2024,3995,326,233.95,20
Retention 4,03/07/2024,2871,174,15.52,49
Awareness 4,04/11/2024,1917,171,318.47,24
Awareness 5,01/13/2024,1835,119,337.51,28
Awareness 1,02/06/2024,948,34,348.15,9
Video 1,03/14/2024,3991,244,127.15,7
Video 3,02/22/2024,882,52,178.14,4
Conversion 5,02/24/2024,836,23,298.44,2
Video 2,02/22/2024,1897,127,446.43,17
Video 4,02/02/2024,3610,225,92.74,40
Conversion 1,04/05/2024,2766,122,321.89,27
Retention 5,02/21/2024,2229,181,427.92,10
Conversion 2,02/19/2024,3680,227,318.22,50
Lookalike 4,01/12/2024,3694,84,78.22,23
Lookalike 4,04/29/2024,1477,49,49.82,1
Awareness 1,04/09/2024,2914,206,139.61,59
Retention 5,02/06/2024,3022,172,19.66,44
Retention 5,01/22/2024,537,43,237.09,9
Lookalike 3,04/09/2024,1873,66,15.12,4
Awareness 1,04/04/2024,1846,132,191.37,11
Lookalike 5,02/14/2024,769,47,330.87,8
Conversion 4,03/14/2024,3740,144,278.77,11
Lookalike 5,02/07/2024,1469,43,235.21,7
Conversion 5,02/02/2024,879,73,431.17,19
Awareness 4,03/28/2024,1944,122,349.94,28
Awareness 4,03/22/2024,2803,247,224.66,24
Retention 3,03/07/2024,3172,236,363.07,33
Video 4,03/27/2024,439,32,129.56,3
Conversion 2,04/24/2024,711,44,92.64,5
Video 2,03/04/2024,1502,45,339.58,12
Retention 2,04/16/2024,1361,105,394.64,9
Retention 1,03/27/2024,3825,258,82.86,15
Awareness 4,02/17/2024,2914,45,387.83,12
Video 3,03/03/2024,1691,96,443.63,26
Retention 5,01/17/2024,3530,327,136.92,29
Lookalike 5,02/14/2024,2553,211,223.07,37
Awareness 5,02/28/2024,3924,287,91.04,84
Conversion 1,02/11/2024,3223,50,308.23,6
Conversion 3,03/01/2024,2909,256,96.41,25
Video 3,02/16/2024,1805,83,231.96,7
Awareness 2,04/14/2024,1545,82,263.56,24
Lookalike 4,01/26/2024,3352,127,117.58,18
Retention 2,02/23/2024,3676,354,80.05,87
Awareness 3,04/10/2024,950,94,384.48,15
Awareness 1,03/29/2024,1628,59,388.45,2
Retention 1,02/27/2024,645,21,125.62,5
Conversion 3,02/14/2024,1464,66,258.75,18
Lookalike 2,03/14/2024,2086,52,392.31,15
Video 3,02/11/2024,3061,214,90.92,51
Video 5,02/06/2024,2396,193,209.41,9
Awareness 3,02/23/2024,2987,287,392.69,58
Video 3,01/30/2024,2741,135,409.58,6
Conversion 4,02/04/2024,1697,119,324.04,23
Awareness 4,02/22/2024,3598,317,172.98,59
Retention 3,04/30/2024,1153,101,69.39,9
Lookalike 4,03/11/2024,1262,36,59.81,1
Lookalike 1,02/03/2024,507,40,242.93,11
Video 2,02/01/2024,1036,22,420.24,2
Conversion 1,01/05/2024,2215,151,72.11,38
Conversion 5,04/29/2024,3924,364,390.94,56
Conversion 2,03/16/2024,2646,139,436.75,30
Video 5,03/22/2024,2270,155,291.6,28
Video 1,02/26/2024,1668,153,224.52,13
Conversion 5,04/14/2024,1898,94,82.74,3
Retention 4,04/06/2024,1808,71,247.77,15
Awareness 2,04/11/2024,1627,25,202.24,2
Lookalike 4,02/01/2024,2645,123,194.11,22
Retention 3,01/11/2024,3328,258,184.53,34
Awareness 3,02/06/2024,2961,104,347.57,28
Video 2,02/07/2024,3712,140,96.78,6
Lookalike 4,01/25/2024,3008,161,211.95,35
Conversion 1,02/06/2024,479,13,436.83,0
Conversion 2,01/02/2024,912,69,331.29,6
Awareness 3,02/29/2024,1289,56,150.54,13
Lookalike 3,04/09/2024,1752,38,341.5,2
Awareness 3,04/14/2024,692,42,94.0,11
Awareness 4,04/08/2024,3792,60,438.95,13
Awareness 1,03/07/2024,1412,109,29.58,16
Retention 2,03/21/2024,2336,112,433.13,31
Lookalike 3,01/26/2024,3450,326,241.6,32
Conversion 4,02/11/2024,613,54,109.74,3
Lookalike 2,01/02/2024,1085,89,269.34,12
Lookalike 3,04/08/2024,2780,226,221.74,43
Lookalike 1,01/08/2024,1418,40,54.76,7
Conversion 4,01/30/2024,3040,85,248.31,5
Conversion 4,04/03/2024,2687,220,344.16,54
Retention 1,03/03/2024,487,35,170.8,2
Awareness 2,03/10/2024,2689,107,318.21,8
Conversion 5,01/21/2024,1725,133,134.77,33
Lookalike 3,02/28/2024,2575,72,143.62,7
Lookalike 1,03/20/2024,3578,247,179.88,19
Conversion 5,04/14/2024,3578,242,154.5,11
Awareness 5,02/06/2024,1177,70,231.43,12
Conversion 1,01/06/2024,2078,144,63.05,24
Retention 1,01/05/2024,1131,100,102.9,16
Video 5,02/02/2024,3028,260,301.2,44
Lookalike 2,03/24/2024,1900,64,327.26,2
Awareness 5,04/05/2024,3808,83,363.44,3
Awareness 3,03/08/2024,3767,174,323.17,43
Lookalike 5,01/13/2024,3407,71,147.2,20
Lookalike 2,03/13/2024,3370,116,182.62,9
Retention 5,02/15/2024,2687,211,195.61,12
Awareness 2,03/11/2024,3277,234,399.03,17
Awareness 4,04/29/2024,2467,107,83.81,32
Conversion 4,04/07/2024,1690,104,448.63,26
Awareness 2,02/18/2024,3783,290,279.66,52
Video 4,01/01/2024,3449,126,433.32,19
Lookalike 3,01/01/2024,1565,102,240.16,30
Conversion 3,04/27/2024,1308,43,151.98,10
Video 1,02/28/2024,2494,155,417.78,11
Conversion 2,02/02/2024,1039,27,174.68,5
Conversion 1,04/02/2024,776,49,262.54,4
Conversion 5,04/14/2024,3647,204,227.4,55
Lookalike 4,01/11/2024,2838,197,31.26,48
Lookalike 1,04/21/2024,3557,154,397.71,22
Retention 4,01/07/2024,3462,244,277.0,8
Conversion 5,03/30/2024,2547,47,249.87,3
Retention 4,04/06/2024,1027,19,333.24,2
Video 4,01/19/2024,2756,159,111.61,17
Retention 4,02/03/2024,1776,39,263.58,1
Lookalike 2,03/02/2024,2032,117,351.61,7
Video 5,04/04/2024,1211,68,298.73,5
Video 5,01/12/2024,1408,50,130.82,7
Lookalike 3,03/17/2024,3151,158,173.89,12
Lookalike 4,03/20/2024,3552,145,444.63,28
Retention 3,01/20/2024,2204,41,370.9,3
Lookalike 2,04/21/2024,860,66,120.73,13
Conversion 4,01/03/2024,456,20,364.86,2
Conversion 3,03/11/2024,1256,97,107.17,17
Awareness 1,02/18/2024,2951,227,76.49,49
Video 2,04/11/2024,3117,186,126.12,8
Video 4,03/25/2024,1511,29,299.82,0
Conversion 1,02/07/2024,3115,272,302.14,71
Awareness 3,03/03/2024,1346,132,236.22,29
Video 5,04/28/2024,2577,57,101.51,16
Lookalike 4,04/05/2024,562,20,245.3,2
Retention 2,03/05/2024,475,21,168.08,4
Conversion 1,04/30/2024,3725,75,127.09,10
Video 2,01/12/2024,1547,52,163.68,7
Awareness 2,02/23/2024,2532,244,281.42,48
Retention 3,02/27/2024,2746,76,437.18,20
Video 2,04/20/2024,939,30,75.28,5
Retention 4,04/26/2024,1665,122,405.91,33
Retention 5,03/09/2024,3087,291,413.94,33
Lookalike 3,04/22/2024,1154,48,397.64,10
Awareness 3,01/20/2024,2084,84,339.34,21
Retention 5,02/04/2024,837,21,26.4,6
Video 1,02/15/2024,2722,182,274.42,16
Lookalike 4,04/01/2024,3218,261,73.33,67
Conversion 2,01/29/2024,1153,100,228.78,6
Lookalike 4,01/29/2024,2073,165,21.53,16
Retention 4,04/20/2024,3503,113,92.03,32
Video 4,02/21/2024,2406,176,392.05,47
Lookalike 5,04/30/2024,2890,223,180.46,25
Video 1,03/07/2024,2832,171,294.01,37
Lookalike 2,03/07/2024,2249,121,396.83,32
Video 1,01/25/2024,2020,199,32.07,26
Conversion 4,01/22/2024,2200,107,147.48,27
Awareness 2,02/29/2024,1605,107,38.73,18
Awareness 5,01/18/2024,770,58,64.23,13
Awareness 2,04/22/2024,2093,88,25.84,13
Awareness 2,04/01/2024,769,27,315.9,7
Lookalike 5,03/31/2024,773,19,210.49,2
Awareness 4,03/11/2024,3377,277,237.57,79
Awareness 2,01/21/2024,579,46,411.83,8
Retention 4,02/06/2024,1132,90,37.32,10
Retention 3,01/02/2024,881,80,432.79,2
Awareness 4,01/31/2024,2438,213,251.42,6
Retention 5,03/17/2024,2811,199,212.38,29
Lookalike 2,01/07/2024,1402,126,135.98,25
Retention 1,03/26/2024,1007,19,166.82,1
Video 1,02/23/2024,3832,253,159.03,13
Retention 5,03/14/2024,1060,76,280.82,16
Video 1,01/12/2024,1126,109,340.96,13
Conversion 4,04/17/2024,1722,79,179.84,3
Video 3,02/12/2024,665,26,73.53,5
Video 1,03/14/2024,2094,124,317.69,24
Video 3,02/24/2024,759,42,314.56,11
Video 3,04/28/2024,3872,162,243.55,48
Retention 4,04/13/2024,2916,183,241.07,36
Retention 1,01/04/2024,2896,100,141.36,8
Awareness 5,02/23/2024,2961,244,335.8,20
Awareness 1,03/22/2024,586,25,258.78,5
Retention 5,03/11/2024,3226,125,358.74,14
Conversion 5,03/19/2024,3541,54,313.34,6
Lookalike 4,04/27/2024,3808,113,158.77,13
Awareness 4,04/24/2024,3665,66,74.05,4
Video 1,04/16/2024,1772,96,369.16,26
Video 1,01/27/2024,1626,102,310.02,18
Video 1,01/20/2024,3207,138,413.54,33
Conversion 2,03/14/2024,3843,67,442.87,13
Video 3,03/31/2024,1995,61,65.83,14
Conversion 2,02/17/2024,3307,58,195.03,9
Awareness 1,02/17/2024,3797,363,109.02,40
Lookalike 4,04/25/2024,3585,115,55.28,19
Video 5,02/09/2024,1031,32,416.78,7
Conversion 5,03/27/2024,986,79,57.74,23
Retention 5,01/15/2024,1240,94,214.83,20
Lookalike 1,02/12/2024,1673,157,313.87,29
Awareness 1,03/14/2024,588,13,348.29,3
Conversion 3,03/09/2024,3016,273,154.58,22
Conversion 3,01/15/2024,3565,187,66.18,13
Lookalike 5,02/10/2024,2951,184,59.53,32
Conversion 2,01/10/2024,979,93,364.74,17
Conversion 1,03/01/2024,2911,264,250.15,11
Lookalike 5,04/24/2024,833,39,52.46,5
Video 3,02/12/2024,2978,256,319.22,50
Retention 4,03/13/2024,3320,263,367.05,13
Retention 4,02/09/2024,780,65,415.06,10
Awareness 5,02/03/2024,2327,80,112.35,20
Conversion 3,02/28/2024,2005,61,414.01,7
Awareness 2,02/06/2024,523,10,64.11,1
Conversion 1,02/11/2024,2875,183,235.96,25
Video 5,02/22/2024,3060,64,146.42,9
Retention 1,02/13/2024,2943,105,84.17,16
Retention 5,04/10/2024,3733,276,202.55,81
Conversion 5,04/17/2024,2630,194,90.29,40
Awareness 4,01/23/2024,868,56,216.37,10
Conversion 4,02/11/2024,2062,43,62.3,10
Awareness 5,04/25/2024,3041,216,54.38,54
Lookalike 4,03/19/2024,3500,96,79.91,16
Video 5,04/11/2024,2231,70,311.46,8
Conversion 5,01/02/2024,2180,165,413.08,49
Video 3,04/25/2024,2490,122,70.49,13
Video 1,04/20/2024,617,9,258.61,2
Conversion 3,04/01/2024,3945,69,202.8,13
Awareness 4,01/18/2024,2063,97,252.13,20
Retention 2,02/06/2024,2675,127,417.15,32
Retention 4,03/25/2024,950,15,297.05,1
Awareness 4,04/24/2024,956,21,294.38,2
Video 4,02/19/2024,2143,145,212.66,20
Conversion 2,04/01/2024,1324,40,277.99,7
Video 1,03/13/2024,1502,74,252.58,9
Awareness 1,01/19/2024,3287,152,267.42,44
Video 1,03/07/2024,3919,386,353.81,60
Video 1,03/28/2024,762,27,289.34,5
Video 5,04/09/2024,3669,235,281.67,64
Lookalike 3,02/23/2024,2320,124,409.13,22
Conversion 5,04/05/2024,3669,146,87.87,31
Conversion 5,01/22/2024,3377,275,128.29,54
Video 1,02/06/2024,611,43,141.91,9
Awareness 3,01/17/2024,737,18,48.44,4
Video 5,01/23/2024,1550,59,126.78,13
Video 3,04/10/2024,3426,95,209.29,23
Retention 1,01/19/2024,2386,72,244.41,2
Video 4,01/31/2024,3765,105,230.74,31
Awareness 3,01/07/2024,3373,233,106.72,53
Conversion 4,02/08/2024,3494,295,37.85,45
Awareness 4,03/01/2024,3456,330,416.27,30
Conversion 4,02/18/2024,994,59,204.11,6
Conversion 3,04/18/2024,2571,187,32.84,51
Awareness 3,04/12/2024,2900,269,388.38,32
Lookalike 2,04/03/2024,1445,102,185.15,24
Video 2,02/10/2024,3555,112,161.77,24
Video 1,03/08/2024,443,31,376.78,1
Lookalike 2,01/05/2024,3207,169,110.45,17
Lookalike 2,03/17/2024,2937,67,423.25,13
Lookalike 4,03/25/2024,3300,318,52.58,61
Video 3,02/07/2024,3689,358,404.76,77
Awareness 3,04/08/2024,3105,293,292.87,81
Awareness 2,04/09/2024,3235,296,349.9,34
Lookalike 1,02/03/2024,1535,124,181.52,14
Conversion 5,02/20/2024,1128,59,228.9,16
Retention 2,03/19/2024,3043,172,77.58,40
Lookalike 5,04/03/2024,2208,167,59.93,8
Conversion 1,04/29/2024,3583,189,404.98,13
Lookalike 4,03/14/2024,3122,150,80.95,17
Lookalike 4,04/18/2024,2511,188,350.38,29
Lookalike 4,01/16/2024,2612,89,182.22,19
Video 4,01/08/2024,2592,244,171.13,52
Lookalike 4,04/07/2024,1896,114,433.0,5
Conversion 2,02/08/2024,3053,98,256.2,28
Awareness 4,04/04/2024,837,57,171.28,3
Retention 2,03/03/2024,973,17,26.03,5
Awareness 4,01/03/2024,658,54,294.88,8
Lookalike 1,01/28/2024,1789,35,357.68,1
Video 5,01/30/2024,2277,216,393.54,37
Lookalike 5,01/06/2024,551,42,227.67,1
Retention 3,04/15/2024,3272,229,21.25,45
Lookalike 1,01/15/2024,2268,151,378.38,7
Awareness 4,02/13/2024,2837,235,110.95,58
Awareness 3,04/17/2024,1728,43,312.58,7
Retention 3,01/19/2024,3530,66,90.45,3
Awareness 5,01/06/2024,1088,80,255.73,11
Retention 2,01/03/2024,809,66,290.0,8
Awareness 5,04/23/2024,730,11,93.04,0
Conversion 2,01/27/2024,2104,155,359.62,24
Retention 2,03/19/2024,3020,114,210.93,10
Lookalike 3,02/14/2024,2842,86,232.45,24
Awareness 1,03/20/2024,418,26,98.48,7
Conversion 2,02/05/2024,3933,313,249.78,27
Lookalike 4,03/04/2024,1193,29,79.91,7
Retention 3,01/27/2024,1054,75,33.76,15
Awareness 1,01/14/2024,1429,62,365.24,14
Lookalike 1,01/10/2024,2601,77,356.69,12
Retention 3,01/30/2024,3354,177,267.2,25
Lookalike 2,02/18/2024,1735,59,118.15,8
Retention 2,01/28/2024,701,38,225.72,10
Video 2,03/21/2024,2263,68,177.47,10
Conversion 1,02/05/2024,1504,48,70.34,10
Retention 3,01/29/2024,855,74,214.48,5
Conversion 2,03/14/2024,2872,81,360.64,23
Video 2,03/16/2024,3902,134,194.09,22
Awareness 2,02/01/2024,3828,207,21.31,30
Conversion 2,04/26/2024,2178,139,402.94,26
Video 5,01/05/2024,420,21,34.24,6
Awareness 1,02/27/2024,2575,124,367.23,27
Awareness 4,01/28/2024,1385,30,342.59,6
Retention 4,03/26/2024,1868,74,296.72,4
Conversion 1,02/28/2024,1062,79,388.2,18
Awareness 3,03/21/2024,3561,95,320.86,7
Awareness 3,03/08/2024,3283,225,389.27,11
Lookalike 5,03/14/2024,1614,82,132.36,23
Retention 1,03/06/2024,3626,265,284.9,31
Conversion 3,02/16/2024,611,14,174.03,2
Retention 2,01/18/2024,3054,190,44.15,42
Conversion 5,04/21/2024,1377,83,297.33,19
Retention 3,03/05/2024,3484,272,113.07,34
Awareness 5,03/08/2024,1535,30,177.17,4
Lookalike 3,02/27/2024,2325,175,310.06,30
Video 1,01/25/2024,1907,158,426.23,39
Awareness 1,01/14/2024,757,16,405.61,1
Retention 2,03/07/2024,1530,37,79.36,2
Lookalike 4,02/14/2024,1600,80,311.85,22
Awareness 1,04/21/2024,2218,172,24.34,13
Retention 3,03/24/2024,3819,364,295.43,51
Conversion 4,02/28/2024,2391,156,318.14,40
Conversion 3,01/30/2024,2723,71,358.37,5
Awareness 3,02/06/2024,1923,187,349.84,7
Awareness 2,01/23/2024,1081,73,84.94,12
Retention 2,02/26/2024,1060,37,32.9,4
Conversion 3,02/14/2024,1914,58,259.68,2
Retention 1,04/27/2024,1927,102,439.33,17
Lookalike 3,01/20/2024,2057,193,349.31,55
Lookalike 3,03/01/2024,3424,210,235.72,42
Conversion 5,04/03/2024,3489,343,264.57,23
Awareness 2,03/27/2024,1787,131,333.26,35
Video 4,02/15/2024,878,36,189.71,9
Lookalike 2,04/10/2024,1736,34,293.97,6
